Country,CouponPercentage,Maduración,Precio,Maduration
JP,0,5/1/2023,100.253,1
JP,0,3/20/2024,100.65,2
JP,0,3/20/2026,100.457,3
JP,0,6/20/2028,100.957,5
JP,0,3/20/2031,100.166,7
JP,0.38,3/20/2036,101.78,10
JP,0.5,3/20/2041,100.818,15
JP,0.63,3/20/2051,100.496,20
JP,0.5,3/20/2060,93.043,30
JP,1.88,3/10/2022,101.018,40
KR,0.75,3/10/2023,99.695,1
KR,1.88,3/10/2024,101.882,2
KR,1.25,3/10/2026,98.156,3
KR,1.5,12/10/2030,94.46,5
KR,1.5,9/10/2040,88.085,10
KR,1.88,3/10/2051,91.553,20
KR,2.63,8/13/2022,100.117,30
CN,2.25,7/2/2023,99.359,1
CN,2.75,4/8/2024,100.359,2
CN,3,3/11/2026,100.663,3
CN,3.25,12/3/2027,101.495,5
CN,3.25,11/19/2030,101.611,7
CN,3.63,9/22/2035,103.747,10
CN,4.75,7/24/2044,118.508,15
CN,3.75,9/14/2050,104.124,20
CN,8.25,5/14/2022,104.215,30
IN,7.25,4/16/2023,105.47,1
IN,7.25,4/8/2026,106.42,2
IN,8.13,2/15/2027,110.68,5
IN,5.75,8/3/2030,96.617,7
IN,8.75,12/12/2041,121.8,10
IN,8.13,6/22/2045,115.25,20
IN,0.25,5/23/2022,100.25,25
HK,0.13,2/22/2023,100.03,1
HK,1.88,6/3/2024,105.01,2
HK,3.25,2/25/2026,112.68,3
HK,1.38,2/22/2028,103.76,5
HK,2.13,8/27/2029,108.68,7
HK,1.75,2/1/2023,102.315,10
SG,0.5,11/1/2025,98.954,2
SG,2.88,9/1/2030,111.584,5
SG,2.25,8/1/2036,105.411,10
SG,2.38,7/1/2039,108.045,15
SG,1.88,3/1/2050,100.555,20
SG,3.38,6/14/2024,103.413,30
MY,3.88,9/15/2025,105.571,3
MY,3.63,6/15/2028,104.631,5
MY,2.63,4/15/2031,95.009,7
MY,3.75,7/5/2034,103.248,NA
MY,3.75,5/22/2040,93.992,15
MY,4,6/15/2050,93.445,20
MY,7,5/15/2022,103.077,30
ID,8.38,3/15/2024,108.584,1
ID,5.5,4/15/2026,99.56,3
ID,6.5,2/15/2031,100.06,5
ID,6.25,6/15/2036,99.56,10
ID,7.5,4/15/2040,103.41,15
ID,8.75,2/15/2044,115.117,20
ID,7.38,5/15/2048,101.972,25
ID,5.13,11/8/2022,106.698,30
TH,1.38,12/17/2024,102.351,2
TH,1.5,12/17/2029,98.958,5
TH,1.5,6/17/2035,92.845,10
TH,0.13,11/13/2022,99.993,15
TW,0.25,1/13/2026,99.931,2
TW,0.25,2/22/2031,98.295,5
TW,0.5,1/29/2041,99.981,10
TW,0.5,2/25/2051,97.282,20
